Subject,Activity Type,Activity Status,Priority,Last Updated,Actual Duration,Actual End,Actual Start,Created By,Date Created,Description,Due Date,Duration,Modified By,Propriétaire,Regarding,Start Date,Start Date Year,Start Date Month,Start Date Day,Start Date Hour,Start Date Minute,Start Date Second,Due Date Year,Due Date Month,Due Date Day,Due Date Hour,Due Date Minute,Due Date Second
ont fourni des commentaires sur le séminaire témoignant de leur intérêt,campaignresponse,1,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Patricia San Juan,Fête de charité au profit du projet Mountains to Sound Greenway,,-1,0,12,10,0,0,-1,0,12,10,0,0
Ils ont appelé pour manifester leur intérêt,campaignresponse,1,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Patricia San Juan,Fête de charité au profit du projet Mountains to Sound Greenway,,-1,0,8,10,0,0,-1,0,8,10,0,0
Pas intéressé par la nouvelle ligne de produits,campaignresponse,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Patricia San Juan,Campagne de lancement de la nouvelle série WX-1300 de VTT,,-1,0,9,10,0,0,-1,0,9,10,0,0
Montre un intérêt certain.,campaignresponse,2,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Patricia San Juan,Fête de charité au profit du projet Mountains to Sound Greenway,,-1,0,0,10,0,0,-1,0,0,10,0,0
Ils ont appelé pour manifester leur intérêt,campaignresponse,1,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Patricia San Juan,Fête de charité au profit du projet Mountains to Sound Greenway,,-1,0,0,10,0,0,-1,0,0,10,0,0
Réponse positive de Fournitures de sport XYZ.,campaignresponse,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Patricia San Juan,Campagne de lancement de la nouvelle série WX-1300 de VTT,,0,-1,2,10,0,0,0,-1,2,10,0,0
A demandé de ne plus recevoir de documents marketing,campaignresponse,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Patricia San Juan,Campagne de lancement de la nouvelle série WX-1300 de VTT,,0,-3,-10,10,0,0,0,-3,-10,10,0,0
réponse envoyée au reste du courrier électronique,campaignresponse,1,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Patricia San Juan,Campagne de lancement de la nouvelle série WX-1300 de VTT,,0,-2,10,10,0,0,0,-2,10,10,0,0
Vaguement intéressé. Approfondir.,campaignresponse,1,Faible,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Patricia San Juan,Campagne de lancement de la nouvelle série WX-1300 de VTT,,0,0,-1,10,0,0,0,0,-1,10,0,0
Ont répondu en disant qu'ils n'étaient pas intéressés,campaignresponse,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Patricia San Juan,Fête de charité au profit du projet Mountains to Sound Greenway,,0,0,-15,5,0,0,0,0,-15,5,0,0
a rappelé pour dire qu'il n'était pas intéressé,campaignresponse,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Patricia San Juan,Campagne de lancement de la nouvelle série WX-1300 de VTT,,0,-1,-5,5,0,0,0,-1,-5,5,0,0
réponse envoyée au reste du courrier électronique de tous les prospects convertis,campaignresponse,2,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Patricia San Juan,Campagne de lancement de la nouvelle série WX-1300 de VTT,,0,-1,18,5,0,0,0,-1,18,5,0,0
Montre un intérêt certain pour le séminaire,campaignresponse,1,Haute,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Patricia San Juan,Fête de charité au profit du projet Mountains to Sound Greenway,,0,-1,18,5,0,0,0,-1,18,5,0,0
A assisté au séminaire sur les nouveaux accessoires et caractéristiques des produits,campaignresponse,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,Patricia San Juan,Campagne de lancement de la nouvelle série WX-1300 de VTT,,0,0,-10,5,0,0,0,0,-10,5,0,0
