Subject,Activity Type,Activity Status,Priority,Last Updated,Actual Duration,Actual End,Actual Start,Created By,Date Created,Description,Due Date,Duration,Modified By,Propriétaire,Regarding,Start Date
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Devis pour un Route-150,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Devis pour un vélo de tourisme,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Vélos de route haut de gamme,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Devis pour un vélo de route modèle 250,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,devis pour un cadre rouge,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Devis pour un vélo de tourisme et une casquette,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Devis pour un VTT (modèle 200),
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Devis pour un casque bleu,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Devis pour un Tourisme-3000,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Devis pour des VTT-100,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Devis pour des Route-550-W,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Devis pour un Route-750,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Devis pour un casque bleu,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Vélos de route haut de gamme,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Devis pour un Tourisme-3000,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Devis pour un vélo de tourisme et une casquette,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Devis pour des VTT-100,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Devis pour un vélo de route modèle 250,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,devis pour un cadre rouge,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Devis pour un Route-150,
Fermer un devis,quoteclose,2,Normale,1/24/2008,,,,First name Last name,1/24/2008,,,,First name Last name,First name Last name,Devis pour un vélo de tourisme,
